x	y	tooltip
0.884615384615385	0.954545454545454	Add simplify ar
0.884615384615385	0.142730181837496	Add simplify ar
0.884615384615385	0.0734109739845884	Add simplify ar
0.692307692307692	0.723687641230662	News tweaking
0.692307692307692	0.098069002645963	News tweaking
0.692307692307692	0.0674011264654197	News tweaking
0.5	0.571484442899357	Style tweaks to
0.5	0.0902560499835836	Style tweaks to
0.5	0.0917468180852509	Style tweaks to
0.307692307692308	0.599950871043127	Tweaking test s
0.307692307692308	0.0454545454545456	Tweaking test s
0.307692307692308	0.0704203845336736	Tweaking test s
0.115384615384615	0.539654733279255	Convert to mode
0.115384615384615	0.221845003573016	Convert to mode
0.115384615384615	0.0647017498116927	Convert to mode
